Category,Item,Calories,Protein (g),Fat (g),Cholesterol (mg),Sodium (mg),Carbohydrates (g),Meal Pref,Allergies
Home Plates,Seasoned Rice,50,2,0,0,0,12,VE,NA
Home Plates,Grilled Green Beans,50,2,0,0,30,10,VE,NA
Home Plates,Seasoned Roast Beef,120,25,5,60,200,2,NV,NA
Home Plates,Roasted Eggplant,170,3,10,0,10,25,VE,NA
Home Plates,Roasted Mushrooms,120,4,2,0,10,20,VE,NA
Home Plates,Beef Gravy,25,1,2,5,200,2,NV,NA
Gridiron,Grilled Black Bean Burger,150,12,5,0,450,25,VE,NA
Gridiron,Grilled Herb Chicken Sandwich,310,25,8,60,550,35,NV,NA
Gridiron,Baked Russet Potato,140,3,0,0,15,35,VE,NA
Gridiron,Crispy Homestyle French Fries,140,2,4,0,250,25,V,NA
Kettle Classics,Chicken & Roasted Corn Chowder (6 fl oz),200,12,8,30,600,25,NV,NA
Kettle Classics,Three Bean Chili (6 fl oz),100,7,2,0,450,15,VE,NA
Kettle Classics,Cornbread (1 serving),150,4,8,20,250,20,VE,NA
Kettle Classics,Saltine Crackers (6 crackers),70,1,3,0,130,10,V,NA
Kettle Classics,Classic Cheese Pizza,340,15,15,30,700,35,V,NA
Brickyard,Mushroom & Onion Pizza,360,15,16,30,750,38,V,NA
Brickyard,White Pizza,380,15,18,35,780,40,V,NA
Brickyard,Antipasto Salad,360,15,20,40,850,25,V,NA
Brickyard,Tomato Cucumber Salad,15,1,0,0,5,4,VE,NA
Brickyard,Garlic Herb Breadstick,150,5,5,10,250,20,VE,NA
Brickyard,Alfredo Sauce (1/2 cup),250,8,22,55,450,10,V,NA
Brickyard,Spaghetti Sauce (1/2 cup),100,2,4,0,450,14,V,NA
Brickyard,Fruity Marshmallow Treat,100,1,0,0,40,25,V,NA
Brickyard,Banana Pudding,140,4,3,10,100,25,V,NA
Finish Line,Chocolate Chip Cookie,120,2,6,10,100,15,V,E
Finish Line,Sugar Cookie,120,1,4,10,100,18,V,E
Finish Line,Pork Egg Roll,220,9,12,35,450,20,NV,NA
Finish Line,Kung Pao Pork,200,15,10,40,600,15,NV,NA
Stir Fry,Chicken & Snow Pea Stir-Fry,130,15,4,35,400,10,NV,NA
Stir Fry,Korean BBQ Tofu,180,10,8,0,500,20,VE,NA
Stir Fry,Vegetable Fried Rice,120,4,4,0,400,20,VE,NA
Stir Fry,White Rice,40,1,0,0,0,10,VE,NA
Stir Fry,Black Daal,180,15,4,0,400,25,V,NA
Stir Fry,Samosa,100,4,5,0,250,15,V,NA
Choolah,White Rice,80,2,0,0,0,18,V,NA
Choolah,Tikka Masala,150,6,10,25,400,8,V,NA
Choolah,Chicken,240,35,9,85,450,0,NV,NA
,,,,,,,,,
,,,,,,,,,